urls,district,year_built,rooms,apartment_size,price,price_sqm,maintenance_fee,maintenance_sqm,total_maintenance,active,condition,street,street_number,staircase,total_floors,housing_company,plot_ownership,fetch_date,removal_date,sell_time_days,decade_built,is_sauna,is_balcony,is_elevator
https://www.etuovi.com/kohde/fk7787,heinapaa,1959,1,32.0,48500,1515.62,200.1,6.25,219.68,True,Välttävä,Tarkka-ampujankatu,20,,1/3 (alin kerros),Asunto Oy Isokulma,rental,2026-05-23,,,1950,0,0,0
https://www.etuovi.com/kohde/9747329,KMM,2012,2,44.0,99000,2250.0,215.6,4.9,215.6,True,good,Polettikuja,6,,1/2,As Oy Oulun Koppelo,rental,2026-05-23,,,2010,1,0,0
https://www.etuovi.com/kohde/20755400,kaukovainio,1972,4,92.0,98000,1065.22,301.44,3.28,668.19,True,good,Tuulihaukantie,5,,4/7,As.Oy Sato-Anna,rental,2026-05-23,,,1970,0,1,1
https://www.etuovi.com/kohde/21749828,heinapaa,1965,2,45.0,77800,1728.89,146.4,3.25,380.64,True,good,Aleksanterinkatu,58,,2/3,Asunto-osakeyhtiö Iso-Iikka,rental,2026-05-23,,,1960,0,0,0
https://www.etuovi.com/kohde/80509441,heinapaa,1959,4,71.0,148000,2084.51,248.5,3.5,337.54,True,good,Puistokatu,32,A,3/3 (ylin kerros),Asunto Oy Limingantulli,own,2026-05-23,,,1950,0,0,0
https://www.etuovi.com/kohde/618959,kaukovainio,1966,3,81.0,117000,1444.44,394.2,4.87,503.7,True,,Helatie,2,A,1/2,Asunto Oy Vaskihela,rental,2026-05-23,,,1960,1,0,0
https://www.etuovi.com/kohde/619379,myllyoja,1980,3,80.0,106000,1325.0,376.0,4.7,448.0,True,good,Karvarinkuja,1,B,1/2,As Oy Parkki-Salpa,rental,2026-05-23,,,1980,1,1,0
https://www.etuovi.com/kohde/21185816,kaukovainio,1973,3,81.0,129000,1592.59,223.5,2.76,245.85,False,good,Nuolihaukantie,6,,4/7,As Oy Santa-Salpa,rental,2026-05-23,2026-05-24,1.0,1970,0,1,1
https://www.etuovi.com/kohde/619136,heinapaa,1974,2,47.0,78000,1659.57,164.5,3.5,164.5,False,,Peltokatu,18,B,5/5 (ylin kerros),Asunto Oy Oulun Peltokatu 18,own,2026-05-23,2026-05-24,1.0,1970,0,1,1
https://www.etuovi.com/kohde/39136078,kaukovainio,1972,3,80.0,0,0.0,273.96,3.42,273.96,False,,Ampuhaukantie,5,,7/7 (ylin kerros),As Oy Kaukovainion Salpa,rental,2026-05-23,2026-05-24,1.0,1970,0,1,1
https://www.etuovi.com/kohde/t62862,Rajakylä,1973,3,78.5,67900,864.97,251.2,3.2,409.4,True,good,Ruiskukkatie,3,,8/8 (ylin kerros),As Oy Oulun Ruiskukkatie 3,rental,2026-05-24,,,1970,0,1,1
https://www.etuovi.com/kohde/613719,heinapaa,1970,3,73.5,138000,1877.55,374.85,5.1,657.83,True,good,nan,0,,4/5,Asunto-osakeyhtiö Oulun Torikatu 70,own,2026-05-24,,,1970,0,1,1
https://www.etuovi.com/kohde/1413652,myllyoja,1954,3,83.0,0,0.0,0.0,0.0,0.0,True,good,Nuutintie,5,,,,own,2026-05-24,,,1950,1,0,0
