subject,sender,date,urls,status
Uusia asuntoja vahdiltasi myllyoja,"""Etuovi.com"" <no-reply@etuovi.com>","Thu, 28 May 2026 09:42:10 +0000",['https://www.etuovi.com/kohde/80489354'],
Uusia asuntoja vahdiltasi rajakyla,"""Etuovi.com"" <no-reply@etuovi.com>","Thu, 28 May 2026 09:41:09 +0000",['https://www.etuovi.com/kohde/80507103'],
Uusia asuntoja vahdiltasi heinapaa,"""Etuovi.com"" <no-reply@etuovi.com>","Thu, 28 May 2026 07:48:10 +0000",['https://www.etuovi.com/kohde/20281385'],
Uusia asuntoja vahdiltasi heinapaa,"""Etuovi.com"" <no-reply@etuovi.com>","Wed, 27 May 2026 18:21:31 +0000","['https://www.etuovi.com/kohde/80443854', 'https://www.etuovi.com/kohde/80465403']",
Uusia asuntoja vahdiltasi heinapaa,"""Etuovi.com"" <no-reply@etuovi.com>","Wed, 27 May 2026 10:45:31 +0000",['https://www.etuovi.com/kohde/2274960'],
Uusia asuntoja vahdiltasi myllyoja,"""Etuovi.com"" <no-reply@etuovi.com>","Tue, 26 May 2026 19:01:31 +0000",['https://www.etuovi.com/kohde/80506600'],
Uusia asuntoja vahdiltasi kaukovainio,"""Etuovi.com"" <no-reply@etuovi.com>","Tue, 26 May 2026 12:49:33 +0000",['https://www.etuovi.com/kohde/fc2826'],
Uusia asuntoja vahdiltasi kaukovainio,"""Etuovi.com"" <no-reply@etuovi.com>","Tue, 26 May 2026 10:42:33 +0000",['https://www.etuovi.com/kohde/80510295'],
"Uusia asuntoja vahdiltasi Myytävät asunnot, Metelinkangas, Oulu","""Etuovi.com"" <no-reply@etuovi.com>","Tue, 26 May 2026 06:41:34 +0000",['https://www.etuovi.com/kohde/80510245'],
Uusia asuntoja vahdiltasi rajakyla,"""Etuovi.com"" <no-reply@etuovi.com>","Tue, 26 May 2026 05:23:18 +0000",['https://www.etuovi.com/kohde/32729452'],
