,Unnamed: 0,url,fetch_date,active,removal_date,price,Kohdenumero,Sijainti,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tehdyt remontit,Asunnon kunto,Lämmitysjärjestelmän kuvaus,Taloyhtiön nimi,Tulevat remontit,Tontin omistus,Tontin vuokra-aika päättyy,Tontin vuokra-aika,huoneita
0,0,https://www.etuovi.com/kohde/32074348,19072025,True,,78000.0,32074348,Heinäpää,"2h, kk, kph, p",41 m²,1/6,2024 Lämmönjakokeskuksen uusinta,Hyvä,Lämmitystapa: Kaukolämpö,Isännöintitoimisto,2025 Jäteaseman päivittäminen nykystandardien mukaiseksi tarvittaessa,Vuokra,31.12.2054,,2
1,1,https://www.etuovi.com/kohde/602070,19072025,True,,108000.0,602070,Heinäpää,"2h, kk, kh",40 m²,3/5,2025 IV kanaviston puhdistus ja säätö. 2024 Asuntojen verkkovirtaan kytketyt palovaroittimet,Hyvä,Kaukolämpö,Retta Isännöinti Oy / Myllyoja Kari,Suunnitellut: Hallituksen selvitys kunnossapitotarpeista 2025-2030:,Oma,,,2
2,2,https://www.etuovi.com/kohde/80431751,19072025,True,,99500.0,80431751,Heinäpää,"2h, k, kph, parv",53 m²,3/3 (ylin kerros),1997 A-C talon ulko-ovet uusittu.,Hyvä,Kaukolämpö,"Oiva Isännöinti Oulu Oy, Pekka Kallunki, pekka.kallunki@oi.fi, 0107556233",2025 Jäteaseman päivittäminen nykystandardien mukaiseksi tarvittaessa (esim. Molok),Vuokra,31.12.2054,,2
3,3,https://www.etuovi.com/kohde/21682352,19072025,True,,279000.0,21682352,Heinäpää,4h + kk + s,80 m²,1/6,2023 Latausinfran rakentaminen autohalliin,Hyvä,Kaukolämpö,Kiinteistö-Tahkola Oulun toimipiste Pekka Punju p. 0207480290,2025 Kuntoarvion teettäminen(suunniteltu). Rakennuttajan vastuu piilevistä virheistä päättyy 2026,Oma,,,4
4,4,https://www.etuovi.com/kohde/20112745,19072025,True,,55000.0,20112745,Heinäpää,1h + k + vh,32 m²,3/3,- ikkunat uusittu 1990,Hyvä,Kaukolämpö,Oiva Isännöinti Oulu Oy / Pekka Kallunki 010 755 6233,- Parvekkeiden kuntotutkimus 2025,Vuokra,30.12.2055,,1
5,5,https://www.etuovi.com/kohde/2267800,19072025,True,,136000.0,2267800,Heinäpää,"Kerrostalo 2h, k + s",47 m²,1/4 (alin kerros),"2025 Muu - Palovaroittimien asennus (Nordic 10 - Stand alone), 2025 Korjaussuunnitelma - kunnossapitotarvesuunnitelma tehty, 2024 Ilmanvaihto - IV-kanavien nuohous ja ilmamäärien säätö, 2022 Hissi - Hissi uusittu, 2021 Katto - Harjatiivisteen uusiminen, pyörävaraston valaistuksen uusiminen, 2019 Muu - Märkätilakatselmus, 2018 Lämmitys - Alajakokeskuksen uusinta, 2017 Muu - Ulkokäytävien valaistuksen uusiminen, parkkihallin kaasulaitteiston uusiminen, 2016 Muu - Katutason pihavalaistuksen uusinta, noususulakkeiden vaihto sähköpääkeskukseen, 2015 Muu - Sadevesien ohjaus talon takana ja huoneiston 401 parvekekattorakenteen korjaus, 2012 Ilmanvaihto - IV-kanavien nuohous ja ilmamäärien säätö, 2010 Muu - Raja-aidan uusiminen",Hyvä,Kaukolämpö,"Hissi, Vinttikomero",,Oma,,,K
6,6,https://www.etuovi.com/kohde/600839,19072025,True,,110000.0,600839,Heinäpää,2h + kk + kh + parveke,48 m²,5/6,2025 IV kanaviston puhdistus ja säätö. 2024 Asuntojen verkkovirtaan kytketyt palovaroittimet,,Kaukolämpö,Retta Isännöinti Oy / Myllyoja Kari,Suunnitellut: Hallituksen selvitys kunnossapitotarpeista 2025-2030:,Oma,,,2
7,7,https://www.etuovi.com/kohde/1397574,19072025,True,,0.0,1397574,Heinäpää,"2h, k, kph / wc, vh, las. parv.","61,5 m²",3/5,"Huoneistojen ikkunat ja parvekeovet uusittu 2001, ulko-ovet 2004 ja 2008, piha-asfaltti uusittu osittain 2006, käyttövesi- ja viemäriverkoston kuntotutkimus 2010, lämmönsiirrin, patteripuolen siirrin uusittu 2011, kellariviemärit sukitettu, kerrosviemärit pinnoitettu 2013, vesi-, sähkö- ja tv/tietotekniikkaverkoston uusiminen, saunaosaston uusiminen, ilmastoinnin ja patteriverkoston perussäätö 2014, vesikaton kuntotutkimus 2015, vesikatteen korjaus ja sokkelin maalaus 2016, lasten keinu 2017, hissien uusiminen ja rappujen yhdyskäytäväovien uusiminen 2019, tonttiaidan uusiminen 2021, IV kanavien nuohous 2024",Hyvä,"Kaukolämpö, vesikeskuslämmitys","Hissi, Taloyhtiössä on sauna",Suunnitellut kunnossapito- ja muutostyöt:,Vuokra,30.12.2057,,2
8,8,https://www.etuovi.com/kohde/20445746,19072025,True,,234000.0,20445746,Heinäpää,"4h, k",116 m²,4/6,2025 Uima-altaan pintavahdin anturin uusiminen,Hyvä,Kaukolämpö,Retta Isännöinti Oy / Mika Lohi,2025 Aulan lasituksen uusiminen,Oma,,,4
9,9,https://www.etuovi.com/kohde/21637389,19072025,True,,93000.0,21637389,Heinäpää,2h + k,47 m²,2/3,- Asuntojen ikkunat ja parvekelasit uusittu 1995,Tyydyttävä,Kaukolämpö,"Retta Isännöinti Oy Minna Juntunen, Puh; 0102281968 Sähköposti; minna.juntunen@retta.fi",,Vuokra,30.12.2056,,2
10,10,https://www.etuovi.com/kohde/80431088,19072025,True,,176000.0,80431088,Heinäpää,2h + k + kh + parv,62 m²,3/5,1999 Vesikaton kate ja kattoikkunat uusittu,Hyvä,Kaukolämpö,564-5-2-1,2025 - 2026 Ilmanvaihto / IV-kanavien puhdistus ja säätö,Oma,,,2
11,11,https://www.etuovi.com/kohde/21211973,19072025,True,,149000.0,21211973,Heinäpää,2h + k + khh + lasitettu parveke,58 m²,3/3,"Huopakatto uusittu -97, parvekkeet uusittu -00, käyttövesiputkistot uusittu -06, lämmönvaihdin -07, Bauer-vedenkäsittelylaite -11, jäteasema -11, viemärin huuhtelu -12, syöksytorvet ja palotikkaat -12, ikkunat- ja parveke-ovet -14/15, patteriverkoston tasapainotus ja säätö -15/16, porraskäytävien maalaus -17. Sisäänkäyntien lisäovet -20, pyykkituvan koneen uusinta, -21 viemäreiden sukitus, -21 pihan tonttivesijohdon ja viemärikaivon koejaus + vanhojen sakokaivojen täyttö, -22 pyörävaraston valaistuksen uusinta, -22 pihan nurmialueen asfalttien korjaus, -22 sadevesikourujen korjaus, -22 sähköautojen latauskartoitus, -23 kuivausrummun hankinta pyykkitupaan, -24 palovaroittimien asennus huoneistoihin, -24 vesikaton kuntotarkastus ja huoltokorjaukset, -24 väestönsuojan tarkastus ja lakisääteisten varusteiden päivitys.",Hyvä,Kaukolämpö,Reim Oulu Päivi Similä 0207 441 772,,Oma,,,2
12,12,https://www.etuovi.com/kohde/80429382,19072025,True,,65000.0,80429382,Heinäpää,2h + k + kh,40 m²,1/2,2024 CD -talon katon puhdistus ja sammaltuho sekä palovaroittimien asennus.,Tyydyttävä,Kaukolämpö,"Reim Isännöinti, Jaana Hirvonen",Kunnossapitotarveselvityksen mukaisia suunnitelmia:,Oma,,,2
