,Unnamed: 0.1,url,fetch_date,active,removal_date,hinta,valmistusvuosi,Kohdenumero,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tontin omistus,hoitovastike,yhtiovastike_yhteensa,huoneita,tontin_vuokra-aika,katuosoite,neliohinta,neliovastike,lat,lon
0,0,https://www.etuovi.com/kohde/21712742,25072025,True,,212000.0,1994.0,21712742,"3h, k, s",77.5,4/4,Oma,317.75,317.75,3,,Kirkkokatu 77 B,2735.483870967742,4.1,65.0040049,25.4594193
1,1,https://www.etuovi.com/kohde/20764692,25072025,True,,53000.0,1959.0,20764692,1h + kk + kph + vh,27.0,1/6,Vuokra,173.88,190.89,1,30.12.2055,Tarkka-ampujankatu 20,1962.962962962963,6.44,65.0019024,25.4602419
2,2,https://www.etuovi.com/kohde/1397908,25072025,True,,108000.0,1983.0,1397908,"1h, k, kph, s, lasit.parv.",35.5,3/3,Oma,134.9,134.9,1,,Kirkkokatu 79-81,3042.2535211267605,3.8,65.0149645,25.4748226
3,3,https://www.etuovi.com/kohde/21637389,25072025,True,,84000.0,1962.0,21637389,2h + k,47.0,2/3,Vuokra,236.43,236.43,2,30.12.2056,Tarkka-ampujankatu 16,1787.2340425531916,5.030425531914894,65.0029309,25.4563253
4,4,https://www.etuovi.com/kohde/21766801,25072025,True,,115000.0,1962.0,21766801,"2h, k, s",49.0,2/5,Oma,0.0,220.5,2,,Torikatu 51,2346.938775510204,0.0,65.0062523,25.4597908
5,5,https://www.etuovi.com/kohde/80431741,25072025,True,,124000.0,1965.0,80431741,"3h, k, kph, parv",70.5,1/3,Vuokra,205.0,430.5,3,30.12.2059,Aleksanterinkatu 58 D,1758.8652482269504,2.9078014184397163,65.0116791,25.464588
6,6,https://www.etuovi.com/kohde/32074348,25072025,True,,78000.0,1960.0,32074348,"2h, kk, kph, p",41.0,1/6,Vuokra,211.6,317.4,2,31.12.2054,Tarkka-ampujankatu 18,1902.439024390244,5.160975609756098,65.0024096,25.4582975
7,7,https://www.etuovi.com/kohde/602070,25072025,True,,108000.0,1963.0,602070,"2h, kk, kh",40.0,3/5,Oma,152.0,300.0,2,,Isokatu 69 B,2700.0,3.8,65.0088841,25.4685545
8,8,https://www.etuovi.com/kohde/80431751,25072025,True,,99500.0,1960.0,80431751,"2h, k, kph, parv",53.0,3/3 (ylin kerros),Vuokra,262.0,262.2,2,31.12.2054,Tarkka-ampujankatu 18 C,1877.3584905660373,4.943396226415095,65.0033684,25.4563352
9,9,https://www.etuovi.com/kohde/21682352,25072025,True,,279000.0,2016.0,21682352,4h + kk + s,80.0,1/6,Oma,248.0,248.0,4,,Aleksanterinkatu 71,3487.5,3.1,65.0063891,25.4576316
10,10,https://www.etuovi.com/kohde/20112745,25072025,True,,55000.0,1959.0,20112745,1h + k + vh,32.0,3/3,Vuokra,203.78,203.78,1,30.12.2055,Tarkka-Ampujankatu 20,1718.75,6.368125,65.0019024,25.4602419
11,11,https://www.etuovi.com/kohde/2267800,25072025,True,,136000.0,1997.0,2267800,"Kerrostalo 2h, k + s",47.0,1/4 (alin kerros),Oma,164.5,164.5,2,,Isokatu 89,2893.617021276596,3.5,65.0035762,25.4611128
12,12,https://www.etuovi.com/kohde/600839,25072025,True,,110000.0,1963.0,600839,2h + kk + kh + parveke,48.0,5/6,Oma,182.4,636.29,2,,Isokatu 69 B,2291.6666666666665,3.8,65.0088841,25.4685545
